profile_id,profile_version,rank,engagement_slug,program_name,program_url,evidence_level,score,metadata_score,deep_score,score_delta,coverage,percentile,eligible,provisional,restricted_access,reward_potential,reward_breadth,meaningful_surface,api_surface,api_surface_size,web_surface,researcher_competition,rewarded_activity,submission_activity,research_saturation,freshness,safe_harbor,target_data_quality,accessibility,known_issue_density,opportunity_change,authz_opportunity,payout_realized,scope_momentum,ki_concentration,ki_status,diff_status,arc_status,group_stats_status,enrichment_status,source_hash,scoring_version,reasons
best_ev,1.5.0,1,acme-security-bb,Acme Security Bug Bounty,https://bugcrowd.com/engagements/acme-security-bb,deep,72.4,72.4,78.9,6.5,0.75,50,true,false,true,0.82,,0.61,0.55,,,,,,0.12,0.1,,,0.35,0.31,0.74,0.66,0.58,0.4,0.22,complete,complete,no_baseline,complete,complete,sha256:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1.5.0,REWARD_HIGH;SATURATION_LOW
best_ev,1.5.0,2,globex-bb,Globex Corporation,https://bugcrowd.com/engagements/globex-bb,metadata,51.6,51.6,,,0.5,0,true,false,false,0.4,,0.33,,,,,,,0.05,0.85,1,,0.9,,,,0,,,,,,,complete,sha256:cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,1.5.0,REWARD_MEDIUM
best_ev,1.5.0,3,initech-vdp,Initech VDP,https://bugcrowd.com/engagements/initech-vdp,metadata,,,,,0.15,,false,true,false,,,0.1,,,,,,,,,,,0.4,,,,,,,,,,,unavailable,,1.5.0,NO_REWARD_POOL
low_competition,1.5.0,1,acme-security-bb,Acme Security Bug Bounty,https://bugcrowd.com/engagements/acme-security-bb,deep,68.1,68.1,61.3,-6.8,0.75,50,true,false,true,0.82,,0.61,0.55,,,,,,0.12,0.1,,,0.35,0.31,0.74,0.66,0.58,0.4,0.22,complete,complete,no_baseline,complete,complete,sha256:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1.5.0,REWARD_HIGH;SATURATION_LOW
low_competition,1.5.0,2,globex-bb,Globex Corporation,https://bugcrowd.com/engagements/globex-bb,metadata,44.9,44.9,,,0.5,0,true,false,false,0.4,,0.33,,,,,,,0.05,0.85,1,,0.9,,,,0,,,,,,,complete,sha256:cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,1.5.0,REWARD_MEDIUM
low_competition,1.5.0,3,initech-vdp,Initech VDP,https://bugcrowd.com/engagements/initech-vdp,metadata,,,,,0.15,,false,true,false,,,0.1,,,,,,,,,,,0.4,,,,,,,,,,,unavailable,,1.5.0,NO_REWARD_POOL
high_reward,1.5.0,1,acme-security-bb,Acme Security Bug Bounty,https://bugcrowd.com/engagements/acme-security-bb,metadata,81,81,,,0.75,50,true,false,true,0.82,,0.61,0.55,,,,,,0.12,0.1,,,0.35,0.31,0.74,0.66,0.58,0.4,0.22,complete,complete,no_baseline,complete,complete,sha256:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1.5.0,REWARD_HIGH;SATURATION_LOW
high_reward,1.5.0,2,globex-bb,Globex Corporation,https://bugcrowd.com/engagements/globex-bb,metadata,47.3,47.3,,,0.5,0,true,false,false,0.4,,0.33,,,,,,,0.05,0.85,1,,0.9,,,,0,,,,,,,complete,sha256:cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,1.5.0,REWARD_MEDIUM
high_reward,1.5.0,3,initech-vdp,Initech VDP,https://bugcrowd.com/engagements/initech-vdp,metadata,,,,,0.15,,false,true,false,,,0.1,,,,,,,,,,,0.4,,,,,,,,,,,unavailable,,1.5.0,NO_REWARD_POOL
authz_api,1.5.0,1,acme-security-bb,Acme Security Bug Bounty,https://bugcrowd.com/engagements/acme-security-bb,deep,74.6,74.6,80.2,5.6,0.75,50,true,false,true,0.82,,0.61,0.55,,,,,,0.12,0.1,,,0.35,0.31,0.74,0.66,0.58,0.4,0.22,complete,complete,no_baseline,complete,complete,sha256:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1.5.0,REWARD_HIGH;SATURATION_LOW
authz_api,1.5.0,2,globex-bb,Globex Corporation,https://bugcrowd.com/engagements/globex-bb,metadata,38.8,38.8,,,0.5,0,true,false,false,0.4,,0.33,,,,,,,0.05,0.85,1,,0.9,,,,0,,,,,,,complete,sha256:cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,1.5.0,REWARD_MEDIUM
authz_api,1.5.0,3,initech-vdp,Initech VDP,https://bugcrowd.com/engagements/initech-vdp,metadata,,,,,0.15,,false,true,false,,,0.1,,,,,,,,,,,0.4,,,,,,,,,,,unavailable,,1.5.0,NO_REWARD_POOL
fresh_programs,1.5.0,1,globex-bb,Globex Corporation,https://bugcrowd.com/engagements/globex-bb,metadata,63,63,,,0.5,50,true,false,false,0.4,,0.33,,,,,,,0.05,0.85,1,,0.9,,,,0,,,,,,,complete,sha256:cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,1.5.0,REWARD_MEDIUM
fresh_programs,1.5.0,2,acme-security-bb,Acme Security Bug Bounty,https://bugcrowd.com/engagements/acme-security-bb,deep,55.2,55.2,66.7,11.5,0.75,0,true,false,true,0.82,,0.61,0.55,,,,,,0.12,0.1,,,0.35,0.31,0.74,0.66,0.58,0.4,0.22,complete,complete,no_baseline,complete,complete,sha256:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1.5.0,REWARD_HIGH;SATURATION_LOW
fresh_programs,1.5.0,3,initech-vdp,Initech VDP,https://bugcrowd.com/engagements/initech-vdp,metadata,,,,,0.15,,false,true,false,,,0.1,,,,,,,,,,,0.4,,,,,,,,,,,unavailable,,1.5.0,NO_REWARD_POOL
easy_entry,1.4.0,1,globex-bb,Globex Corporation,https://bugcrowd.com/engagements/globex-bb,metadata,61.2,61.2,,,0.5,50,true,false,false,0.4,,0.33,,,,,,,0.05,0.85,1,,0.9,,,,0,,,,,,,complete,sha256:cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,1.4.0,REWARD_MEDIUM
easy_entry,1.4.0,2,acme-security-bb,Acme Security Bug Bounty,https://bugcrowd.com/engagements/acme-security-bb,metadata,43.5,43.5,,,0.75,0,true,false,true,0.82,,0.61,0.55,,,,,,0.12,0.1,,,0.35,0.31,0.74,0.66,0.58,0.4,0.22,complete,complete,no_baseline,complete,complete,sha256:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1.4.0,REWARD_HIGH;SATURATION_LOW
easy_entry,1.4.0,3,initech-vdp,Initech VDP,https://bugcrowd.com/engagements/initech-vdp,metadata,,,,,0.15,,false,true,false,,,0.1,,,,,,,,,,,0.4,,,,,,,,,,,unavailable,,1.4.0,NO_REWARD_POOL
